complex,model,cdr_attr_frac,cdr_len_frac,enrichment
1VFB,three_stream,0.3210000871707118,0.3275862068965517,0.9798949999509144
1VFB,two_stream,0.2830950936358778,0.3275862068965517,0.8641850200399043
3HFM,three_stream,0.21770764538106893,0.1813953488372093,1.2001831666382163
3HFM,two_stream,0.19856759227505544,0.1813953488372093,1.0946674898406001
5GRJ,three_stream,0.2791541248491278,0.31666666666666665,0.8815393388450162
5GRJ,two_stream,0.3636941807693584,0.31666666666666665,1.148507935644791
5Y9J,three_stream,0.1755656865134666,0.1574468085106383,1.115079353205973
5Y9J,two_stream,0.1471756988233947,0.1574468085106383,0.9347645676710292
4ETQ,three_stream,0.16098943143836103,0.17647058823529413,0.9122734396478296
4ETQ,two_stream,0.3396007796304868,0.17647058823529413,1.9244044070011335
